period_beginning,period_ending,reporting_period,transport_mode,journey_millions
2019-08-18,2019-09-14,6,Underground,99.40
2019-09-15,2019-10-12,7,Underground,112.20
2019-10-13,2019-11-09,8,Underground,113.30
2019-11-10,2019-12-07,9,Underground,117.50
2019-12-08,2020-01-04,10,Underground,91.20
2020-01-05,2020-02-01,11,Underground,105.80
2020-02-02,2020-02-29,12,Underground,106.20
2020-03-01,2020-03-31,13,Underground,60.90
2020-04-01,2020-05-02,1,Underground,5.70
2020-05-03,2020-05-30,2,Underground,6.70
2020-05-31,2020-06-27,3,Underground,13.30
2020-06-28,2020-07-25,4,Underground,22.20
2020-07-26,2020-08-22,5,Underground,28.80
2020-08-23,2020-09-19,6,Underground,36.30
2020-09-20,2020-10-17,7,Underground,39.50
2020-10-18,2020-11-14,8,Underground,33.70
2010-04-01,2010-05-01,1,DLR,6.30
2010-05-02,2010-05-29,2,DLR,5.80
2010-05-30,2010-06-26,3,DLR,5.80
2010-06-27,2010-07-24,4,DLR,6.10
2010-07-25,2010-08-21,5,DLR,5.80
2010-08-22,2010-09-18,6,DLR,5.50
2010-09-19,2010-10-16,7,DLR,6.30
2010-10-17,2010-11-13,8,DLR,6.70
2010-11-14,2010-12-11,9,DLR,6.40
2010-12-12,2011-01-08,10,DLR,4.80
2011-01-09,2011-02-05,11,DLR,6.30
2011-02-06,2011-03-05,12,DLR,6.50
2011-03-06,2011-03-31,13,DLR,6.00
2011-04-01,2011-04-30,1,DLR,6.40
2011-05-01,2011-05-28,2,DLR,6.30
2011-05-29,2011-06-25,3,DLR,6.10
2011-06-26,2011-07-23,4,DLR,6.40
2011-07-24,2011-08-20,5,DLR,6.20
2011-08-21,2011-09-17,6,DLR,6.40
2011-09-18,2011-10-15,7,DLR,7.50
2011-10-16,2011-11-12,8,DLR,7.30
2011-11-13,2011-12-10,9,DLR,7.10
2011-12-11,2012-01-07,10,DLR,5.20
2012-01-08,2012-02-04,11,DLR,6.90
2012-02-05,2012-03-03,12,DLR,7.00
2012-03-04,2012-03-31,13,DLR,7.30
2012-04-01,2012-04-28,1,DLR,7.00
2012-04-29,2012-05-26,2,DLR,7.40
2012-05-27,2012-06-23,3,DLR,7.00
2012-06-24,2012-07-21,4,DLR,7.90
2012-07-22,2012-08-18,5,DLR,10.60
2012-08-19,2012-09-15,6,DLR,8.70
2012-09-16,2012-10-13,7,DLR,7.70
2012-10-14,2012-11-10,8,DLR,8.00
2012-11-11,2012-12-08,9,DLR,7.70
2012-12-09,2013-01-05,10,DLR,5.70
2013-01-06,2013-02-02,11,DLR,7.30
2013-02-03,2013-03-02,12,DLR,7.60
2013-03-03,2013-03-31,13,DLR,7.60
2013-04-01,2013-04-27,1,DLR,7.60
2013-04-28,2013-05-25,2,DLR,7.90
2013-05-26,2013-06-22,3,DLR,7.70
2013-06-23,2013-07-20,4,DLR,8.00
2013-07-21,2013-08-17,5,DLR,7.50
2013-08-18,2013-09-14,6,DLR,7.20
2013-09-15,2013-10-12,7,DLR,7.90
2013-10-13,2013-11-09,8,DLR,8.20
2013-11-10,2013-12-07,9,DLR,8.20
2013-12-08,2014-01-04,10,DLR,6.50
2014-01-05,2014-02-01,11,DLR,7.80
2014-02-02,2014-03-01,12,DLR,8.30
2014-03-02,2014-03-31,13,DLR,8.30
2014-04-01,2014-04-26,1,DLR,7.60
2014-04-27,2014-05-24,2,DLR,8.30
2014-05-25,2014-06-21,3,DLR,8.30
2014-06-22,2014-07-19,4,DLR,8.30
2014-07-20,2014-08-16,5,DLR,8.20
2014-08-17,2014-09-13,6,DLR,8.20
2014-09-14,2014-10-11,7,DLR,8.70
2014-10-12,2014-11-08,8,DLR,9.20
2014-11-09,2014-12-06,9,DLR,9.20
2014-12-07,2015-01-03,10,DLR,6.90
2015-01-04,2015-01-31,11,DLR,8.60
2015-02-01,2015-02-28,12,DLR,9.00
2015-03-01,2015-03-31,13,DLR,10.00
2015-04-01,2015-05-02,1,DLR,10.20
2015-05-03,2015-05-30,2,DLR,8.90
2015-05-31,2015-06-27,3,DLR,9.10
2015-06-28,2015-07-25,4,DLR,9.00
2015-07-26,2015-08-22,5,DLR,8.90
2015-08-23,2015-09-19,6,DLR,8.70
2015-09-20,2015-10-17,7,DLR,9.60
2015-10-18,2015-11-14,8,DLR,8.90
2015-11-15,2015-12-12,9,DLR,9.40
2015-12-13,2016-01-09,10,DLR,7.10
2016-01-10,2016-02-06,11,DLR,9.30
2016-02-07,2016-03-05,12,DLR,9.50
2016-03-06,2016-03-31,13,DLR,8.40
2016-04-01,2016-04-30,1,DLR,10.40
2016-05-01,2016-05-28,2,DLR,9.50
2016-05-29,2016-06-25,3,DLR,9.20
2016-06-26,2016-07-23,4,DLR,9.40
2016-07-24,2016-08-20,5,DLR,9.00
2016-08-21,2016-09-17,6,DLR,8.80
2016-09-18,2016-10-15,7,DLR,9.60
2016-10-16,2016-11-12,8,DLR,10.10
2016-11-13,2016-12-10,9,DLR,10.10
2016-12-11,2017-01-07,10,DLR,7.60
2017-01-08,2017-02-04,11,DLR,9.60
2017-02-05,2017-03-04,12,DLR,9.70
2017-03-05,2017-03-31,13,DLR,9.50
2017-04-01,2017-04-29,1,DLR,9.70
2017-04-30,2017-05-27,2,DLR,9.40
2017-05-28,2017-06-24,3,DLR,9.20
2017-06-25,2017-07-22,4,DLR,9.60
2017-07-23,2017-08-19,5,DLR,9.20
2017-08-20,2017-09-16,6,DLR,8.60
2017-09-17,2017-10-14,7,DLR,9.60
2017-10-15,2017-11-11,8,DLR,9.90
2017-11-12,2017-12-09,9,DLR,9.80
2017-12-10,2018-01-06,10,DLR,7.40
2018-01-07,2018-02-03,11,DLR,9.30
2018-02-04,2018-03-03,12,DLR,9.30
2018-03-04,2018-03-31,13,DLR,8.70
2018-04-01,2018-04-28,1,DLR,9.40
2018-04-29,2018-05-26,2,DLR,9.70
2018-05-27,2018-06-23,3,DLR,9.20
2018-06-24,2018-07-21,4,DLR,9.60
2018-07-22,2018-08-18,5,DLR,9.00
2018-08-19,2018-09-15,6,DLR,8.60
2018-09-16,2018-10-13,7,DLR,9.60
2018-10-14,2018-11-10,8,DLR,10.10
